time,solve_time,solver_iterations,min_slack,solver_success,critical_constraint_name,nominal_cost,barrier_cost,total_cost
0.89,0.0040661060011188965,9,0.00013052475208552572,True,cbf_obstacle_8,0.32783430154711873,0.0008623891658189857,0.3286966907129377
0.9,0.003766048997931648,8,0.00012980747529139913,True,cbf_obstacle_8,0.33216342726308873,0.0008626679182612225,0.33302609518134996
0.91,0.0038244489987846464,8,0.00012911593999798132,True,cbf_obstacle_8,0.3364478474695906,0.0008630095929284843,0.3373108570625191
0.92,0.0034598120000737254,7,0.00012844881560653,True,cbf_obstacle_8,0.34068904265701516,0.0008634144403505718,0.34155245709736576
0.93,0.0032938340009422973,7,0.00012780498909314986,True,cbf_obstacle_8,0.3448879143021478,0.000863882220633707,0.34575179652278154
0.9400000000000001,0.0036148700019111857,8,0.00012718384906795777,True,cbf_obstacle_8,0.34904249872582144,0.0008644134672901855,0.3499069121931116
0.9500000000000001,0.00354355100353132,8,0.00012658448311136938,True,cbf_obstacle_8,0.3531526555581705,0.0008650081542300208,0.3540176637124005
0.96,0.003543860999343451,8,0.00012600646517840763,True,cbf_obstacle_8,0.3572164447844968,0.0008656662063470799,0.3580821109908439
0.97,0.0037348000005295034,8,0.0001254490118854923,True,cbf_obstacle_8,0.36123270854330264,0.0008663875538110749,0.3620990960971137
0.98,0.0040296959996339865,9,0.00012491125174962647,True,cbf_obstacle_8,0.3652030055273052,0.000867173017803651,0.36607017854510887
0.99,0.004097064997040434,9,0.00012439270945152625,True,cbf_obstacle_8,0.36912497870780886,0.000868022323586785,0.36999300103139565
1.0,0.003942786999687087,9,0.00012389298492898604,True,cbf_obstacle_8,0.3729971292926667,0.000868935492326121,0.37386606478499285
1.01,0.003768308997678105,9,0.00012341139742211293,True,cbf_obstacle_8,0.37681875585196806,0.0008699138768020223,0.3776886697287701
1.02,0.00601813499815762,9,0.00012294754069552827,True,cbf_obstacle_8,0.38058903792503895,0.000870957859775657,0.3814599957848146
1.03,0.005093563999253092,9,0.0001225009211108241,True,cbf_obstacle_8,0.3843061786652932,0.0008720673811363713,0.3851782460464296
1.04,0.005914765999477822,9,0.00012207104116962464,True,cbf_obstacle_8,0.3879702638366482,0.0008732429441246658,0.38884350678077284
1.05,0.005200954001338687,9,0.00012165762071075781,True,cbf_obstacle_8,0.39157853970985634,0.0008744857289889361,0.3924530254388453
1.06,0.004466611000680132,9,0.00012126002919116141,True,cbf_obstacle_8,0.3951312147990907,0.0008757960599483499,0.39600701085903905
1.07,0.0069147949980106205,9,0.00012087799427795698,True,cbf_obstacle_8,0.3986272476534689,0.0008771756884546376,0.39950442334192354
1.08,0.0043452329991851,9,0.00012051115461159112,True,cbf_obstacle_8,0.4020645250922051,0.0008786245099378179,0.4029431496021429
1.09,0.004154654998274054,10,0.00012015907745704935,True,cbf_obstacle_8,0.4054424909177468,0.0008801437956995465,0.4063226347134464
1.1,0.00426783299917588,10,0.00011982140312621903,True,cbf_obstacle_8,0.40876059786444313,0.0008817347542974228,0.40964233261874056
1.11,0.004331972999352729,10,0.00011949777487524349,True,cbf_obstacle_8,0.41201739271725735,0.0008833987200121339,0.4129007914372695
1.12,0.005776817000878509,10,0.00011918795063581289,True,cbf_obstacle_8,0.4152115779698885,0.0008851365429644014,0.4160967145128529
1.1300000000000001,0.00688152500151773,10,0.00011889152528976599,True,cbf_obstacle_8,0.41834235945904064,0.0008869496170833103,0.41922930907612393
1.1400000000000001,0.004562189998978283,11,0.00011860832792709441,True,cbf_obstacle_8,0.4214080701838204,0.0008888392639157419,0.4222969094477362
1.1500000000000001,0.0031749360023241024,7,0.00011833801932997767,True,cbf_obstacle_8,0.42440804740907606,0.0008908069822627265,0.4252988543913388
1.16,0.003378833000169834,6,0.00011808038108723773,True,cbf_obstacle_8,0.4273402859398699,0.0008928548911017361,0.42823314083097164
1.17,0.004868537002039375,8,0.00011783506837503843,True,cbf_obstacle_8,0.4302045106870129,0.0008949846314704808,0.43109949531848335
1.18,0.003772219002712518,6,0.00011760172067371011,True,cbf_obstacle_8,0.43300012875571847,0.0008971976661933771,0.43389732642191187
1.19,0.004955515996698523,8,0.00011738027749447211,True,cbf_obstacle_8,0.43572506435341674,0.0008994967589806592,0.4366245611123974
1.2,0.004109674999199342,8,0.00011717058395765978,True,cbf_obstacle_8,0.43837739871782316,0.0009018834232944841,0.43927928214111767
1.21,0.0042246140001225285,8,0.00011697231333585023,True,cbf_obstacle_8,0.44095737584233613,0.0009043602834442182,0.44186173612578034
1.22,0.003708479998749681,7,0.00011678519411151278,True,cbf_obstacle_8,0.44346272480274634,0.0009069301986207564,0.4443696550013671
1.23,0.002595731999463169,6,0.00011660909124017182,True,cbf_obstacle_8,0.44589337345739244,0.0009095968975494967,0.44680297035494193
1.24,0.0020783369982382283,4,0.00011644399472071632,True,cbf_obstacle_8,0.44824649761727586,0.000912366934614011,0.44915886455188986
1.25,0.001894178996735718,4,0.00011628966033555566,True,cbf_obstacle_8,0.45052058064186695,0.0009152398365783821,0.4514358204784453
1.26,0.0020735569996759295,6,0.00011614571558682396,True,cbf_obstacle_8,0.45271661189799844,0.0009182157991296699,0.4536348276971281
1.27,0.0015964330013957806,4,0.00011601213516648778,True,cbf_obstacle_8,0.4548318788699583,0.0009212991246979918,0.4557531779946563
1.28,0.002274975002364954,6,0.00011588890794961282,True,cbf_obstacle_8,0.4568645432532302,0.000924492457687951,0.45778903571091817
1.29,0.0024824329993862193,6,0.00011577595915857053,True,cbf_obstacle_8,0.45881290491058524,0.0009277987713358473,0.4597407036819211
1.3,0.0021027769980719313,5,0.00011567288023939248,True,cbf_obstacle_8,0.46067797792408866,0.0009312224396949802,0.4616092003637836
1.31,0.0021567270014202222,5,0.00011558013640866616,True,cbf_obstacle_8,0.4624527822095844,0.000934767017755144,0.46338754922733955
